Quarter,Time,Down,ToGo,Location,Detail,CHI,CLE,EPB,EPA
3,9:32,,,CLE 35,Chase McLaughlin kicks off 65 yards returned by Khalil Herbert for 23 yards (tackle by M.J. Stewart),3,13,0.000,0.480
3,9:27,1,10,CHI 23,David Montgomery left guard for 2 yards (tackle by Myles Garrett),3,13,0.480,0.200
3,8:51,2,8,CHI 25,Justin Fields pass incomplete short right intended for Marquise Goodwin (defended by Greg Newsome),3,13,0.200,-0.490
3,8:45,3,8,CHI 25,Justin Fields sacked by Myles Garrett for -3 yards,3,13,-0.490,-1.900
3,7:57,4,11,CHI 22,Pat O'Donnell punts 63 yards returned by Demetric Felton for 9 yards (tackle by Nsimba Webster),3,13,-1.900,-0.540
3,7:46,1,10,CLE 24,Nick Chubb left guard for 1 yard (tackle by Angelo Blackson and Roquan Smith),3,13,0.540,0.130
3,7:04,2,9,CLE 25,Nick Chubb left guard for 4 yards (tackle by Jeremiah Attaochu),3,13,0.130,-0.030
3,6:37,3,5,CLE 29,Baker Mayfield sacked by and Robert Quinn for -4 yards and Mario Edwards for -4 yards,3,13,-0.030,-1.700
3,5:54,4,9,CLE 25,Jamie Gillan punts 48 yards returned by Nsimba Webster for 4 yards (tackle by Harrison Bryant and M.J. Stewart),3,13,-1.700,-1.000
3,5:45,1,10,CHI 31,Justin Fields pass incomplete short left intended for Jimmy Graham,3,13,1.000,0.460
3,5:40,2,10,CHI 31,Justin Fields pass incomplete short left intended for Allen Robinson,3,13,0.460,-0.230
3,5:36,3,10,CHI 31,Justin Fields pass complete short left to Allen Robinson for 18 yards (tackle by Denzel Ward),3,13,-0.230,2.190
3,5:11,1,10,CHI 49,Justin Fields pass incomplete short left intended for David Montgomery (defended by Jeremiah Owusu-Koramoah),3,13,2.190,1.650
3,5:06,2,10,CHI 49,Justin Fields left tackle for 1 yard (tackle by Jeremiah Owusu-Koramoah),3,13,1.650,1.090
3,4:27,3,9,CHI 50,Justin Fields pass complete short right to Cole Kmet for no gain (tackle by Troy Hill). Penalty on Jason Peters: Offensive Holding 10 yards (accepted) (no play),3,13,1.090,-0.230
3,4:02,3,19,CHI 40,Justin Fields pass deep right is intercepted by John Johnson at CHI-3 and returned for no gain. Penalty on John Johnson: Defensive Pass Interference 48 yards (accepted) (no play),3,13,-0.230,4.780
3,3:43,1,10,CLE 12,David Montgomery right guard for 5 yards (tackle by Malik McDowell),3,13,4.780,5.020
3,3:11,2,5,CLE 7,Justin Fields sacked by Ronnie Harrison for -8 yards,3,13,5.020,3.000
3,2:32,3,13,CLE 15,Justin Fields pass complete short right to David Montgomery for 11 yards (tackle by Ronnie Harrison),3,13,3.000,3.040
3,1:46,4,2,CLE 4,Cairo Santos 22 yard field goal good,6,13,3.040,3.000
3,1:43,,,CHI 35,Cairo Santos kicks off 65 yards touchback.,6,13,0.000,0.610
3,1:43,1,10,CLE 25,Baker Mayfield pass complete short left to Odell Beckham for 16 yards (tackle by Jaylon Johnson),6,13,0.610,1.660
3,0:58,1,10,CLE 41,Baker Mayfield pass incomplete deep right intended for Odell Beckham,6,13,1.660,1.120
3,0:51,2,10,CLE 41,Baker Mayfield pass complete to Kareem Hunt for 23 yards (tackle by Bilal Nichols and Duke Shelley),6,13,1.120,3.180
3,0:07,1,10,CHI 36,Kareem Hunt right end for 7 yards (tackle by Alec Ogletree),6,13,3.180,3.580
4,15:00,2,3,CHI 29,Baker Mayfield pass incomplete deep left intended for Odell Beckham,6,13,3.580,2.870
4,14:55,3,3,CHI 29,Kareem Hunt right tackle for 29 yards touchdown,6,19,2.870,7.000
4,14:46,,,CHI 15,Chase McLaughlin kicks extra point good,6,20,0.000,0.000
4,14:46,,,CLE 35,Chase McLaughlin kicks off 68 yards returned by Khalil Herbert for 31 yards (tackle by A.J. Green),6,20,0.000,0.810
4,14:39,1,10,CHI 28,Justin Fields pass incomplete short left intended for Allen Robinson (defended by Denzel Ward),6,20,0.810,0.260
4,14:35,2,10,CHI 28,Justin Fields pass incomplete short left intended for David Montgomery. Penalty on Denzel Ward: Defensive Holding 5 yards (accepted) (no play),6,20,0.260,1.140
4,14:30,1,10,CHI 33,Justin Fields pass incomplete short left intended for Darnell Mooney,6,20,1.140,0.590
4,14:27,2,10,CHI 33,Justin Fields left end for 4 yards (tackle by Denzel Ward),6,20,0.590,0.430
4,13:55,3,6,CHI 37,Justin Fields pass incomplete short right intended for Cole Kmet (defended by Ronnie Harrison),6,20,0.430,-0.910
4,13:51,4,6,CHI 37,Pat O'Donnell punts 48 yards returned by Demetric Felton for 14 yards (tackle by Nsimba Webster),6,20,-0.910,-0.870
4,13:40,1,10,CLE 29,Baker Mayfield pass complete short left to Odell Beckham for 15 yards (tackle by Jaylon Johnson),6,20,0.870,1.860
4,13:07,1,10,CLE 44,Nick Chubb right tackle for 14 yards (tackle by Alec Ogletree),6,20,1.860,2.790
4,12:21,1,10,CHI 42,Nick Chubb right tackle for 3 yards (tackle by Khyiris Tonga),6,20,2.790,2.650
4,11:35,2,7,CHI 39,Nick Chubb left guard for 5 yards (tackle by Bilal Nichols and Eddie Jackson),6,20,2.650,2.610
4,10:50,3,2,CHI 34,Baker Mayfield pass incomplete short right intended for Harrison Bryant,6,20,2.610,1.100
4,10:45,4,2,CHI 34,Chase McLaughlin 52 yard field goal good,6,23,1.100,3.000
4,10:40,,,CLE 35,Chase McLaughlin kicks off 65 yards touchback.,6,23,0.000,0.610
4,10:40,1,10,CHI 25,David Montgomery left guard for 1 yard (tackle by Takkarist McKinley and Malcolm Smith),6,23,0.610,0.200
4,10:11,2,9,CHI 26,Justin Fields pass incomplete short left intended for Allen Robinson (defended by Greedy Williams),6,23,0.200,-0.490
4,10:08,3,9,CHI 26,Justin Fields sacked by Myles Garrett for -13 yards,6,23,-0.490,-2.490
4,9:30,4,22,CHI 13,Pat O'Donnell punts 62 yards returned by Demetric Felton for 24 yards (tackle by Damien Williams),6,23,-2.490,-2.190
4,9:18,1,10,CLE 49,Kareem Hunt left guard for 3 yards (tackle by Khyiris Tonga),6,23,2.190,2.050
4,8:32,2,7,CHI 48,Kareem Hunt left guard for 19 yards (tackle by Deon Bush and Roquan Smith),6,23,2.050,3.640
4,7:44,1,10,CHI 29,Kareem Hunt right tackle for 1 yard (tackle by Kindle Vildor),6,23,3.640,3.240
4,6:58,2,9,CHI 28,Nick Chubb right guard for 6 yards (tackle by Bilal Nichols),6,23,3.240,3.340
4,6:12,3,3,CHI 22,Nick Chubb left guard for 2 yards (tackle by Eddie Jackson and Margus Hunt),6,23,3.340,2.270
4,6:05,4,1,CHI 20,Nick Chubb left guard for 6 yards (tackle by Angelo Blackson),6,23,2.270,4.650
4,5:20,1,10,CHI 14,Kareem Hunt right guard for -6 yards (tackle by Margus Hunt),6,23,4.650,3.280
4,4:37,2,16,CHI 20,Kareem Hunt right guard for 4 yards (tackle by Angelo Blackson and Akiem Hicks),6,23,3.280,3.000
4,3:52,3,12,CHI 16,Nick Chubb left tackle for 6 yards (tackle by Jaylon Johnson),6,23,3.000,2.790
4,3:46,4,6,CHI 10,Chase McLaughlin 28 yard field goal good,6,26,2.790,3.000
